Timestamp,Path,Target,Pos,Depth
1763024164.6628726,Home,Null,"(-275, 22)",1
1763024167.7190697,Home,Null,"(845, 425)",1
1763024172.485549,Home,Setting,"(76, 680)",1
1763024174.0113,Home / Quick Settings / Profile Setting,Profile_Setting,"(462, 599)",3
1763024174.3248036,Home / Quick Settings / Profile Setting,Null,"(458, 464)",3
1763024174.8109725,Home / Quick Settings / Profile Setting,ControlButton_사이드미러 각도,"(503, 325)",3
1763024174.9075575,Home / Quick Settings / Profile Setting,Null,"(503, 325)",3
1763024181.9619427,Home / Quick Settings / Profile Setting,Back,"(1228, 25)",3
1763024182.6137967,Home / Quick Settings,child_lock_set,"(1177, 98)",2
1763024185.5512047,Home / Quick Settings,Null,"(1020, 407)",2
1763024185.8169868,Home / Quick Settings,Null,"(914, 411)",2
1763024186.1321688,Home / Quick Settings,Null,"(1033, 407)",2
1763024186.4287896,Home / Quick Settings,Null,"(1069, 389)",2
1763024186.6770992,Home / Quick Settings,Null,"(1079, 478)",2
1763024187.438828,Home / Quick Settings,Music,"(933, 684)",2
1763024188.214843,Home / Music,Internet,"(858, 698)",2
1763024188.6943817,Home / Music,Menu,"(767, 690)",2
1763024189.2759979,Home / Music,Phone,"(655, 678)",2
1763024190.4867105,Home / Music,Apps,"(567, 692)",2
1763024190.934551,Home / Apps,Navi,"(458, 695)",2
1763024191.3350322,Home / Navigation,Apps,"(534, 693)",2
1763024191.7770257,Home / Apps,Gleo AI,"(524, 400)",2
1763024192.1219819,Home / Apps,Gleo AI,"(528, 368)",2
1763024192.3877149,Home / Apps,라디오,"(497, 411)",2
1763024194.0800564,Home / Apps,Null,"(922, 423)",2
1763024194.5308135,Home / Apps,Null,"(832, 462)",2
1763024195.3502688,Home / Apps,Navi,"(451, 687)",2
1763024195.8489194,Home / Navigation,최근 목적지,"(524, 376)",2
1763024196.3953493,Home / Navigation / Recent,recent_최근 목적지3,"(552, 304)",3
1763024197.2869086,Home / Navigation / Recent,dest_check_(예)_최근 목적지3,"(717, 396)",3
1763024198.0622253,Home / Navigation / Recent,Back,"(1229, 16)",3
1763024198.6758893,Home / Navigation,Back,"(1237, 17)",2
1763024199.5424838,Home,Null,"(103, 708)",1
1763024199.8768637,Home,Setting,"(62, 695)",1
1763024201.1453483,Home / Quick Settings,charge_port_open,"(727, 255)",2
1763024201.5279884,Home / Quick Settings,side_mirror_folded_out,"(619, 258)",2
1763024201.9751506,Home / Quick Settings,door_lock_set,"(643, 119)",2
1763024203.7222924,Home / Quick Settings / Profile Setting,Profile_Setting,"(445, 489)",3
1763024204.3621492,Home / Quick Settings / Profile Setting,Keyboard_Shown,"(510, 169)",3
1763024204.4480205,Home / Quick Settings / Profile Setting,Null,"(510, 169)",3
1763024205.040892,Home / Quick Settings / Profile Setting,KeyPress_6,"(457, 463)",3
1763024205.141041,Home / Quick Settings / Profile Setting,Null,"(456, 464)",3
1763024205.405551,Home / Quick Settings / Profile Setting,KeyPress_T,"(397, 525)",3
1763024205.4867773,Home / Quick Settings / Profile Setting,Null,"(397, 525)",3
1763024205.787002,Home / Quick Settings / Profile Setting,KeyPress_G,"(452, 602)",3
1763024205.8710372,Home / Quick Settings / Profile Setting,Null,"(452, 603)",3
