Timestamp,Path,Target,Pos,Depth
1763544480.4889357,Home,Null,"(886, 413)",1
1763544480.6884444,Home,Null,"(886, 413)",1
1763544480.9859426,Home,Null,"(509, 281)",1
1763544483.1129436,Home,Null,"(184, 318)",1
1763544490.6039698,Home,Menu,"(756, 675)",1
1763544494.095307,Home,R.SeatVent,"(1225, 701)",1
1763544494.3805814,Home,R.SeatHeat,"(1145, 697)",1
1763544494.6630914,Home,L.SeatVent,"(1036, 689)",1
1763544494.9438996,Home,Music,"(935, 685)",1
1763544495.2227962,Home / Music,Internet,"(844, 688)",2
1763544495.5899713,Home / Music,Menu,"(711, 684)",2
1763544495.8738039,Home / Music,Phone,"(628, 685)",2
1763544496.1258402,Home / Music,Apps,"(535, 686)",2
1763544496.4271348,Home / Apps,Navi,"(435, 687)",2
1763544496.741833,Home / Navigation,L.SeatHeat,"(324, 690)",2
1763544497.0300035,Home / Navigation,R.Defrost,"(225, 691)",2
1763544497.2952468,Home / Navigation,F.Defrost,"(140, 688)",2
1763544497.574843,Home / Navigation,Setting,"(56, 687)",2
